# Comments on shell extraction
#
# star_pos_pxl:[166.1, 169.1]  # position of star in original datacube pixel (y,x)
# star_pos_wcs:[-62.64006879, 98.9003431]  # position of star in J2000 (dec, ra)
# subcube_size:45  # size in arcsec of each axis of the subcube extracted from the original one.
# rest_line:4861.3  # rest wavelength of the line in angstrom
# wave_range:50  # the range of wavelength considered, centered at rest_line (lambda_blue = rest_line - wave_range/2, lambda_red = rest_line - wave_range/2)
# snr_threshold:2  # when extracting shell, select svoxels with snr greater or equal to this value
# bindata:False  # True if data was binned, False otherwise
# pxl_scl:[0.2 0.2]  # pixel scale in arcsecs (y,x)
# wave_step:1.25  # wavelength step of the cube in angstrom
# minimum_adjacent_pixels:3  # when extracting shell, select those svoxels with at least this number of adjacent svoxels (after applying snr_threshold selection)
# flux_selection:0.1  # when extracting shell, select those svoxels wich flux is greater than flux_selection quantile (after applying minimum_adjacent_pixels selection)
# distance[pc]:501  # distance used to convert PPV into PPP in parsec
# tsn[yrs]:96.5503  # time since nova in years
# vsys[km/s]:1.8  # systemic velocity used to convert PPV into PPP in km/s
# expansion_history:"linear"  # expansion history model used during PPP conversion
# expansion_coeffs:[370]  # coefficients used during PPP conversion (model dependent)
#
# Comments on columns
#
# x,y,z_pxl: svoxel x,y and z position in pixels with respect the central star which is at 0,0,0
# x,y_arcsec: svoxel x and y position in arcsecs in the PPV space with respect the central star
# z_kms: svoxel velocity in km/s in the PPV space with respect the rest_line wavelength
# x,y,z_au: svoxel position in the PPP space in AU with respect the central star
# flux, flux_e: the flux and its uncertainty associated to the svoxel
# snr: lower limit for the signal to noise ratio associated to the svoxel
# belongs_to: if the svoxels belongs to the star, equatorial ring or polar filament
#
x_pxl,y_pxl,z_pxl,x_arcsec,y_arcsec,z_kms,x_au,y_au,z_au,flux,flux_e,snr,belongs_to
-0.3,-2.1,-13.01,-0.06,-0.42,-1003.0,-30.0,-210.0,-20465.0,1647.0,642.0,2.0,star
0.7,-2.1,-13.01,0.14,-0.42,-1003.0,70.0,-210.0,-20465.0,2046.0,611.0,3.0,star
-0.3,-0.1,-13.01,-0.06,-0.02,-1003.0,-30.0,-10.0,-20465.0,2022.0,856.0,2.0,star
0.7,-0.1,-13.01,0.14,-0.02,-1003.0,70.0,-10.0,-20465.0,1747.0,781.0,2.0,star
-3.3,-6.1,-12.01,-0.66,-1.22,-926.0,-331.0,-611.0,-18896.0,245.0,112.0,2.0,star
-0.3,-6.1,-12.01,-0.06,-1.22,-926.0,-30.0,-611.0,-18896.0,296.0,131.0,2.0,star
-0.3,-3.1,-12.01,-0.06,-0.62,-926.0,-30.0,-311.0,-18896.0,1252.0,483.0,2.0,star
0.7,-3.1,-12.01,0.14,-0.62,-926.0,70.0,-311.0,-18896.0,1258.0,467.0,2.0,star
-3.3,-2.1,-12.01,-0.66,-0.42,-926.0,-331.0,-210.0,-18896.0,643.0,295.0,2.0,star
-0.3,-2.1,-12.01,-0.06,-0.42,-926.0,-30.0,-210.0,-18896.0,1843.0,635.0,2.0,star
0.7,-2.1,-12.01,0.14,-0.42,-926.0,70.0,-210.0,-18896.0,2276.0,612.0,3.0,star
3.7,-2.1,-12.01,0.74,-0.42,-926.0,371.0,-210.0,-18896.0,696.0,304.0,2.0,star
-2.3,-1.1,-12.01,-0.46,-0.22,-926.0,-230.0,-110.0,-18896.0,1231.0,518.0,2.0,star
-1.3,-1.1,-12.01,-0.26,-0.22,-926.0,-130.0,-110.0,-18896.0,1781.0,703.0,2.0,star
-0.3,-1.1,-12.01,-0.06,-0.22,-926.0,-30.0,-110.0,-18896.0,2237.0,842.0,2.0,star
0.7,-1.1,-12.01,0.14,-0.22,-926.0,70.0,-110.0,-18896.0,1635.0,800.0,2.0,star
3.7,-1.1,-12.01,0.74,-0.22,-926.0,371.0,-110.0,-18896.0,823.0,360.0,2.0,star
-3.3,-0.1,-12.01,-0.66,-0.02,-926.0,-331.0,-10.0,-18896.0,803.0,375.0,2.0,star
-2.3,-0.1,-12.01,-0.46,-0.02,-926.0,-230.0,-10.0,-18896.0,1347.0,518.0,2.0,star
-1.3,-0.1,-12.01,-0.26,-0.02,-926.0,-130.0,-10.0,-18896.0,2171.0,703.0,3.0,star
-0.3,-0.1,-12.01,-0.06,-0.02,-926.0,-30.0,-10.0,-18896.0,2772.0,854.0,3.0,star
0.7,-0.1,-12.01,0.14,-0.02,-926.0,70.0,-10.0,-18896.0,2178.0,781.0,2.0,star
2.7,-0.1,-12.01,0.54,-0.02,-926.0,271.0,-10.0,-18896.0,1235.0,499.0,2.0,star
-0.3,0.9,-12.01,-0.06,0.18,-926.0,-30.0,90.0,-18896.0,2162.0,772.0,2.0,star
0.7,0.9,-12.01,0.14,0.18,-926.0,70.0,90.0,-18896.0,1583.0,706.0,2.0,star
0.7,-7.1,-11.01,0.14,-1.42,-849.0,70.0,-711.0,-17328.0,218.0,95.0,2.0,star
-0.3,-6.1,-11.01,-0.06,-1.22,-849.0,-30.0,-611.0,-17328.0,296.0,129.0,2.0,star
-4.3,-5.1,-11.01,-0.86,-1.02,-849.0,-431.0,-511.0,-17328.0,311.0,112.0,2.0,star
-2.3,-5.1,-11.01,-0.46,-1.02,-849.0,-230.0,-511.0,-17328.0,506.0,163.0,3.0,star
-1.3,-5.1,-11.01,-0.26,-1.02,-849.0,-130.0,-511.0,-17328.0,482.0,212.0,2.0,star
-0.3,-5.1,-11.01,-0.06,-1.02,-849.0,-30.0,-511.0,-17328.0,468.0,211.0,2.0,star
-4.3,-4.1,-11.01,-0.86,-0.82,-849.0,-431.0,-411.0,-17328.0,337.0,137.0,2.0,star
-4.3,-3.1,-11.01,-0.86,-0.62,-849.0,-431.0,-311.0,-17328.0,575.0,168.0,3.0,star
-3.3,-3.1,-11.01,-0.66,-0.62,-849.0,-331.0,-311.0,-17328.0,876.0,253.0,3.0,star
-0.3,-3.1,-11.01,-0.06,-0.62,-849.0,-30.0,-311.0,-17328.0,1553.0,482.0,3.0,star
0.7,-3.1,-11.01,0.14,-0.62,-849.0,70.0,-311.0,-17328.0,1628.0,472.0,3.0,star
3.7,-3.1,-11.01,0.74,-0.62,-849.0,371.0,-311.0,-17328.0,686.0,259.0,2.0,star
-6.3,-2.1,-11.01,-1.26,-0.42,-849.0,-631.0,-210.0,-17328.0,276.0,116.0,2.0,star
-4.3,-2.1,-11.01,-0.86,-0.42,-849.0,-431.0,-210.0,-17328.0,577.0,189.0,3.0,star
-3.3,-2.1,-11.01,-0.66,-0.42,-849.0,-331.0,-210.0,-17328.0,901.0,291.0,3.0,star
-1.3,-2.1,-11.01,-0.26,-0.42,-849.0,-130.0,-210.0,-17328.0,2052.0,532.0,3.0,star
-0.3,-2.1,-11.01,-0.06,-0.42,-849.0,-30.0,-210.0,-17328.0,2102.0,629.0,3.0,star
0.7,-2.1,-11.01,0.14,-0.42,-849.0,70.0,-210.0,-17328.0,2303.0,611.0,3.0,star
1.7,-2.1,-11.01,0.34,-0.42,-849.0,170.0,-210.0,-17328.0,1938.0,513.0,3.0,star
2.7,-2.1,-11.01,0.54,-0.42,-849.0,271.0,-210.0,-17328.0,1526.0,422.0,3.0,star
3.7,-2.1,-11.01,0.74,-0.42,-849.0,371.0,-210.0,-17328.0,738.0,304.0,2.0,star
4.7,-2.1,-11.01,0.94,-0.42,-849.0,471.0,-210.0,-17328.0,485.0,209.0,2.0,star
-5.3,-1.1,-11.01,-1.06,-0.22,-849.0,-531.0,-110.0,-17328.0,512.0,194.0,2.0,star
-4.3,-1.1,-11.01,-0.86,-0.22,-849.0,-431.0,-110.0,-17328.0,641.0,245.0,2.0,star
-3.3,-1.1,-11.01,-0.66,-0.22,-849.0,-331.0,-110.0,-17328.0,900.0,370.0,2.0,star
-2.3,-1.1,-11.01,-0.46,-0.22,-849.0,-230.0,-110.0,-17328.0,1768.0,516.0,3.0,star
-1.3,-1.1,-11.01,-0.26,-0.22,-849.0,-130.0,-110.0,-17328.0,2822.0,703.0,4.0,star
-0.3,-1.1,-11.01,-0.06,-0.22,-849.0,-30.0,-110.0,-17328.0,2871.0,830.0,3.0,star
0.7,-1.1,-11.01,0.14,-0.22,-849.0,70.0,-110.0,-17328.0,2162.0,790.0,2.0,star
1.7,-1.1,-11.01,0.34,-0.22,-849.0,170.0,-110.0,-17328.0,1855.0,648.0,2.0,star
2.7,-1.1,-11.01,0.54,-0.22,-849.0,271.0,-110.0,-17328.0,1613.0,512.0,3.0,star
3.7,-1.1,-11.01,0.74,-0.22,-849.0,371.0,-110.0,-17328.0,961.0,360.0,2.0,star
5.7,-1.1,-11.01,1.14,-0.22,-849.0,571.0,-110.0,-17328.0,360.0,176.0,2.0,star
-6.3,-0.1,-11.01,-1.26,-0.02,-849.0,-631.0,-10.0,-17328.0,408.0,126.0,3.0,star
-4.3,-0.1,-11.01,-0.86,-0.02,-849.0,-431.0,-10.0,-17328.0,755.0,233.0,3.0,star
-3.3,-0.1,-11.01,-0.66,-0.02,-849.0,-331.0,-10.0,-17328.0,965.0,369.0,2.0,star
-1.3,-0.1,-11.01,-0.26,-0.02,-849.0,-130.0,-10.0,-17328.0,3026.0,705.0,4.0,star
-0.3,-0.1,-11.01,-0.06,-0.02,-849.0,-30.0,-10.0,-17328.0,3691.0,851.0,4.0,star
0.7,-0.1,-11.01,0.14,-0.02,-849.0,70.0,-10.0,-17328.0,2766.0,776.0,3.0,star
1.7,-0.1,-11.01,0.34,-0.02,-849.0,170.0,-10.0,-17328.0,2160.0,629.0,3.0,star
2.7,-0.1,-11.01,0.54,-0.02,-849.0,271.0,-10.0,-17328.0,1626.0,494.0,3.0,star
3.7,-0.1,-11.01,0.74,-0.02,-849.0,371.0,-10.0,-17328.0,1048.0,350.0,2.0,star
-4.3,0.9,-11.01,-0.86,0.18,-849.0,-431.0,90.0,-17328.0,688.0,224.0,3.0,star
-3.3,0.9,-11.01,-0.66,0.18,-849.0,-331.0,90.0,-17328.0,966.0,355.0,2.0,star
-0.3,0.9,-11.01,-0.06,0.18,-849.0,-30.0,90.0,-17328.0,2757.0,776.0,3.0,star
0.7,0.9,-11.01,0.14,0.18,-849.0,70.0,90.0,-17328.0,1873.0,710.0,2.0,star
3.7,0.9,-11.01,0.74,0.18,-849.0,371.0,90.0,-17328.0,1161.0,335.0,3.0,star
-0.3,1.9,-11.01,-0.06,0.38,-849.0,-30.0,190.0,-17328.0,1412.0,534.0,2.0,star
0.7,1.9,-11.01,0.14,0.38,-849.0,70.0,190.0,-17328.0,1045.0,491.0,2.0,star
-4.3,2.9,-11.01,-0.86,0.58,-849.0,-431.0,291.0,-17328.0,365.0,158.0,2.0,star
-2.3,2.9,-11.01,-0.46,0.58,-849.0,-230.0,291.0,-17328.0,703.0,267.0,2.0,star
-0.3,2.9,-11.01,-0.06,0.58,-849.0,-30.0,291.0,-17328.0,1182.0,367.0,3.0,star
-3.3,3.9,-11.01,-0.66,0.78,-849.0,-331.0,391.0,-17328.0,485.0,174.0,2.0,star
-4.3,-9.1,-10.01,-0.86,-1.82,-772.0,-431.0,-912.0,-15760.0,150.0,51.0,2.0,star
-3.3,-8.1,-10.01,-0.66,-1.62,-772.0,-331.0,-812.0,-15760.0,177.0,65.0,2.0,star
0.7,-8.1,-10.01,0.14,-1.62,-772.0,70.0,-812.0,-15760.0,271.0,81.0,3.0,star
1.7,-8.1,-10.01,0.34,-1.62,-772.0,170.0,-812.0,-15760.0,180.0,74.0,2.0,star
-0.3,-7.1,-10.01,-0.06,-1.42,-772.0,-30.0,-711.0,-15760.0,223.0,91.0,2.0,star
