# Comments on shell extraction
#
# star_pos_pxl:[166.1, 169.1]  # position of star in original datacube pixel (y,x)
# star_pos_wcs:[-62.64006879, 98.9003431]  # position of star in J2000 (dec, ra)
# subcube_size:45  # size in arcsec of each axis of the subcube extracted from the original one.
# rest_line:5007.0  # rest wavelength of the line in angstrom
# wave_range:30  # the range of wavelength considered, centered at rest_line (lambda_blue = rest_line - wave_range/2, lambda_red = rest_line - wave_range/2)
# snr_threshold:3  # when extracting shell, select svoxels with snr greater or equal to this value
# bindata:True  # True if data was binned, False otherwise
# binsize: 2x2x1  # bin size used (x,y,z)
# pxl_scl:[0.4 0.4]  # pixel scale in arcsecs (y,x)
# wave_step:1.25  # wavelength step of the cube in angstrom
# minimum_adjacent_pixels:6  # when extracting shell, select those svoxels with at least this number of adjacent svoxels (after applying snr_threshold selection)
# flux_selection:0.1  # when extracting shell, select those svoxels wich flux is greater than flux_selection quantile (after applying minimum_adjacent_pixels selection)
# distance[pc]:501  # distance used to convert PPV into PPP in parsec
# tsn[yrs]:96.5503  # time since nova in years
# vsys[km/s]:1.8  # systemic velocity used to convert PPV into PPP in km/s
# expansion_history:"linear"  # expansion history model used during PPP conversion
# expansion_coeffs:[480]  # coefficients used during PPP conversion (model dependent)
#
# Comments on columns
#
# x,y,z_pxl: svoxel x,y and z position in pixels with respect the central star which is at 0,0,0
# x,y_arcsec: svoxel x and y position in arcsecs in the PPV space with respect the central star
# z_kms: svoxel velocity in km/s in the PPV space with respect the rest_line wavelength
# x,y,z_au: svoxel position in the PPP space in AU with respect the central star
# flux, flux_e: the flux and its uncertainty associated to the svoxel
# snr: lower limit for the signal to noise ratio associated to the svoxel
# belongs_to: if the svoxels belongs to the star, equatorial ring or polar filament
#
x_pxl,y_pxl,z_pxl,x_arcsec,y_arcsec,z_kms,x_au,y_au,z_au,flux,flux_e,snr,belongs_to
-11.9,-49.8,-7.57,-4.76,-19.92,-567.0,-2385.0,-9980.0,-11585.0,33.0,5.0,5.0,polar
29.1,-30.8,-7.57,11.64,-12.32,-567.0,5832.0,-6172.0,-11585.0,25.0,5.0,4.0,polar
18.1,-21.8,-7.57,7.24,-8.72,-567.0,3627.0,-4369.0,-11585.0,46.0,5.0,8.0,polar
25.1,-14.8,-7.57,10.04,-5.92,-567.0,5030.0,-2966.0,-11585.0,46.0,5.0,8.0,polar
-53.9,-9.8,-7.57,-21.56,-3.92,-567.0,-10802.0,-1964.0,-11585.0,33.0,4.0,6.0,polar
-52.9,0.2,-7.57,-21.16,0.08,-567.0,-10601.0,40.0,-11585.0,23.0,5.0,4.0,polar
7.1,0.2,-7.57,2.84,0.08,-567.0,1423.0,40.0,-11585.0,40.0,12.0,3.0,star
28.1,21.2,-7.57,11.24,8.48,-567.0,5631.0,4248.0,-11585.0,48.0,5.0,9.0,polar
33.1,-36.8,-6.57,13.24,-14.72,-492.0,6633.0,-7375.0,-10057.0,20.0,5.0,4.0,polar
25.1,-29.8,-6.57,10.04,-11.92,-492.0,5030.0,-5972.0,-10057.0,40.0,5.0,7.0,polar
21.1,-27.8,-6.57,8.44,-11.12,-492.0,4228.0,-5571.0,-10057.0,23.0,6.0,3.0,polar
23.1,-27.8,-6.57,9.24,-11.12,-492.0,4629.0,-5571.0,-10057.0,20.0,5.0,3.0,polar
25.1,-27.8,-6.57,10.04,-11.12,-492.0,5030.0,-5571.0,-10057.0,31.0,5.0,5.0,polar
36.1,-25.8,-6.57,14.44,-10.32,-492.0,7234.0,-5170.0,-10057.0,35.0,5.0,6.0,polar
27.1,-23.8,-6.57,10.84,-9.52,-492.0,5431.0,-4770.0,-10057.0,51.0,5.0,9.0,polar
30.1,-17.8,-6.57,12.04,-7.12,-492.0,6032.0,-3567.0,-10057.0,41.0,5.0,7.0,polar
25.1,-14.8,-6.57,10.04,-5.92,-492.0,5030.0,-2966.0,-10057.0,40.0,5.0,7.0,polar
24.1,-13.8,-6.57,9.64,-5.52,-492.0,4830.0,-2766.0,-10057.0,31.0,5.0,5.0,polar
26.1,-13.8,-6.57,10.44,-5.52,-492.0,5230.0,-2766.0,-10057.0,42.0,5.0,8.0,polar
27.1,-12.8,-6.57,10.84,-5.12,-492.0,5431.0,-2565.0,-10057.0,58.0,5.0,10.0,polar
26.1,-10.8,-6.57,10.44,-4.32,-492.0,5230.0,-2164.0,-10057.0,56.0,5.0,10.0,polar
-41.9,5.2,-6.57,-16.76,2.08,-492.0,-8397.0,1042.0,-10057.0,21.0,5.0,3.0,polar
26.1,20.2,-6.57,10.44,8.08,-492.0,5230.0,4048.0,-10057.0,28.0,5.0,5.0,polar
54.1,41.2,-6.57,21.64,16.48,-492.0,10842.0,8256.0,-10057.0,20.0,5.0,3.0,polar
28.1,46.2,-6.57,11.24,18.48,-492.0,5631.0,9258.0,-10057.0,32.0,5.0,6.0,polar
-29.9,53.2,-6.57,-11.96,21.28,-492.0,-5992.0,10661.0,-10057.0,46.0,5.0,9.0,polar
25.1,-38.8,-5.57,10.04,-15.52,-417.0,5030.0,-7776.0,-8530.0,46.0,5.0,8.0,polar
5.1,-37.8,-5.57,2.04,-15.12,-417.0,1022.0,-7575.0,-8530.0,26.0,6.0,4.0,polar
13.1,-35.8,-5.57,5.24,-14.32,-417.0,2625.0,-7174.0,-8530.0,28.0,5.0,5.0,polar
53.1,-35.8,-5.57,21.24,-14.32,-417.0,10641.0,-7174.0,-8530.0,42.0,6.0,6.0,polar
13.1,-34.8,-5.57,5.24,-13.92,-417.0,2625.0,-6974.0,-8530.0,31.0,4.0,6.0,polar
17.1,-34.8,-5.57,6.84,-13.92,-417.0,3427.0,-6974.0,-8530.0,22.0,5.0,4.0,polar
21.1,-34.8,-5.57,8.44,-13.92,-417.0,4228.0,-6974.0,-8530.0,50.0,6.0,8.0,polar
33.1,-34.8,-5.57,13.24,-13.92,-417.0,6633.0,-6974.0,-8530.0,62.0,5.0,11.0,polar
50.1,-33.8,-5.57,20.04,-13.52,-417.0,10040.0,-6774.0,-8530.0,23.0,4.0,5.0,polar
14.1,-30.8,-5.57,5.64,-12.32,-417.0,2826.0,-6172.0,-8530.0,26.0,5.0,5.0,polar
31.1,-29.8,-5.57,12.44,-11.92,-417.0,6232.0,-5972.0,-8530.0,68.0,5.0,12.0,polar
22.1,-28.8,-5.57,8.84,-11.52,-417.0,4429.0,-5772.0,-8530.0,41.0,5.0,7.0,polar
24.1,-28.8,-5.57,9.64,-11.52,-417.0,4830.0,-5772.0,-8530.0,30.0,5.0,5.0,polar
31.1,-28.8,-5.57,12.44,-11.52,-417.0,6232.0,-5772.0,-8530.0,70.0,5.0,11.0,polar
30.1,-27.8,-5.57,12.04,-11.12,-417.0,6032.0,-5571.0,-8530.0,53.0,5.0,9.0,polar
22.1,-26.8,-5.57,8.84,-10.72,-417.0,4429.0,-5371.0,-8530.0,62.0,6.0,9.0,polar
24.1,-26.8,-5.57,9.64,-10.72,-417.0,4830.0,-5371.0,-8530.0,22.0,5.0,3.0,polar
19.1,-25.8,-5.57,7.64,-10.32,-417.0,3828.0,-5170.0,-8530.0,56.0,5.0,9.0,polar
19.1,-24.8,-5.57,7.64,-9.92,-417.0,3828.0,-4970.0,-8530.0,55.0,6.0,8.0,polar
17.1,-23.8,-5.57,6.84,-9.52,-417.0,3427.0,-4770.0,-8530.0,41.0,5.0,7.0,polar
26.1,-23.8,-5.57,10.44,-9.52,-417.0,5230.0,-4770.0,-8530.0,52.0,5.0,9.0,polar
19.1,-22.8,-5.57,7.64,-9.12,-417.0,3828.0,-4569.0,-8530.0,72.0,5.0,12.0,polar
18.1,-21.8,-5.57,7.24,-8.72,-417.0,3627.0,-4369.0,-8530.0,23.0,5.0,4.0,polar
-30.9,-19.8,-5.57,-12.36,-7.92,-417.0,-6192.0,-3968.0,-8530.0,23.0,4.0,4.0,polar
25.1,-14.8,-5.57,10.04,-5.92,-417.0,5030.0,-2966.0,-8530.0,32.0,5.0,6.0,polar
26.1,-13.8,-5.57,10.44,-5.52,-417.0,5230.0,-2766.0,-8530.0,82.0,5.0,15.0,polar
27.1,-13.8,-5.57,10.84,-5.52,-417.0,5431.0,-2766.0,-8530.0,76.0,5.0,13.0,polar
28.1,-13.8,-5.57,11.24,-5.52,-417.0,5631.0,-2766.0,-8530.0,70.0,5.0,13.0,polar
25.1,-12.8,-5.57,10.04,-5.12,-417.0,5030.0,-2565.0,-8530.0,82.0,6.0,13.0,polar
26.1,-12.8,-5.57,10.44,-5.12,-417.0,5230.0,-2565.0,-8530.0,72.0,5.0,12.0,polar
